Text,Imagepath,Text_label,Image_label,Multi_label
首先，是鼠还是鸭，我们不在现场。我们只有常识。我们需要公信力的公告。这件事情只能提级处理。当地市场监管局的结果为什么大家都不认？搞明白这个问题，才能解决#鼠鼠我鸭#的问题。#市监局再次确认高校饭菜异物是鸭脖#,25.jpg,0,1,1
可见，笑果就是一个粪坑，一个贼窝#笑果##笑果文化三年内已有6人被罚##笑果和李昊石肆意篡改演出申报内容##笑果承认存在侥幸心理#,26.jpg,0,0,0
The comparison can also be seen in the contempt the Tories have shown for the basic rights of British citizensThese ultra right wing policies have been very carefully and insidiously crafted by the Tories to remove rights that we fought the Nazis to retain in the UK ,27.jpg,1,0,1
#文心一言#遥遥无期的等待,28.jpg,0,0,0
#智见财经#罗永浩再次出质锤子股权年第三次股权转让月日，罗永浩出质锤子科技北京股份有限公司旗下股权，质权人分别为苏州市裕立诚电子科技有限公司、北京英科同源科技有限公司，出质状态均显示有效。据统计，这已经是罗永浩在年第三次转让锤子股权。月日，锤子科技北京股份有限公司新增条股权出质，出质人为罗永浩。#罗永浩##锤子手机##股权转让#@新浪财经 ,29.jpg,0,0,0
哈尔滨社区书店“我方便，我说爱买不买！”不知道罗永浩老师看到现在这种情况，他会怎么说还会不会这么笃定的说这一番话。如果罗永浩老师当时知道有今天他还会这么说吗？看来钟薛高一直是这么骄傲的爱买不买！他从来没有告诉我们为什么买！#钟薛高##钟薛高为何引发大众反感##钟薛高雪糕最贵一支元##钟薛高度室温下放小时不化##钟薛高是智商税还是物有所值##罗永浩称元的钟薛高爱买不买##爱买不买##罗永浩##正果书堂##正果咖啡、茶#哈尔滨正果书堂 ,30.jpg,1,1,1
驳回，果然，心里有了准备，还是有点失望，准备上诉，也要做好二审到南阳中院后继续开庭驳回上诉到高院申请司法建议的准备。嗯，不说别的，粮食补贴不是乡政府需要主动履行的法定职责吗，多次一起反映到过乡政府，几年了，即没补之前的也没给现在的。负责人真的没有责任？所以说内乡法院估计是认为粮...全文,31.jpg,0,0,0
"I hope you've got a big appetite when you order @edsdiners Big Full Breakfast at @sainsburys in Swansea. I mean, look at all that 3 rashers of bacon and those giant mushrooms!  #microbacon #avoid #disappointing",32.jpg,1,0,1
李憬璟forHMDividedXNYLON#hm##时尚穿搭##杂志大片##OOTD#@carryonmodel上海,33.jpg,0,0,0
文心一言#文心一言#,34.jpg,0,0,0
#胡锡进#以下文章由#文心一言#生成。近日，网上出现了一篇名为《赵何娟与胡锡进老师商榷，不要动不动上升到中国输赢》的文章，老胡也看到了这篇文章，知道大家很关心中国的发展问题，所以老胡忍不住啰嗦几句。首先，老胡要强调的是，国家之间的竞争，不应该用输赢来衡量。无论是中国还是其他国家，都应该以和平共处、互利共赢为原则，以合作为主要方式，以发展为目标，以共同利益为基础，而不是通过无谓的竞争和对抗来争夺所谓的“胜利”。其次，老胡认为，这篇文章中提到的“输赢”概念，有些过于狭隘和片面。中国和其他国家之间的竞争，应该是在相互尊重、平等互利的基础上进行的，而不是为了赢得所谓的“胜利”而采用一些不公平的手段。最后，老胡想说的是，作为一个公民和一个媒体人，我们应该关注国家的发展，关注世界的变化，但也要注意保持理性和客观，不要盲目地炒作和渲染一些无关紧要的话题。我们应该以积极的心态和行动，为推动中国和世界的发展做出自己的贡献。 ,35.jpg,0,0,0
"Scientist  I’m really scared #AI can replace us soonInternet  I have ALL the information in the world, even the false stuff#ChatGPT ",36.jpg,1,1,1
#肯德基疯狂星期四##文心一言##chatgpt#文心一言尚无法理解“疯四文学”。如果给足提示，倒是能有不错的回答。一旦下套，它立即能体会到人心险恶。文心一言还有很长的路要走，当前它可以算是一个比百度搜索更优秀的搜索引擎。后两图是新必应,37.jpg,0,0,0
 protecting mental health since time immemorial.,38.jpg,1,1,1
Yet @CNN has no problem with Justin Trudeau doing this? #ThisisCNN ,39.jpg,1,1,1
#DREAM in chat happy pride george#GEORGE AHGUIghasBhshsi love them,40.jpg,0,0,0
#锤子手机#锤子科技为了提高效率，为了让更多的人不加班，而让自己的员工半年来没日没夜的上班，工作，拼命。亲爹去世了，也就只给两天假。真不知道该说啥。我们国家和发达国家的差别真的是在工作效率不足上吗？现在世界的人们办公用的不是同样的office办公软件吗？资本家为了节约成本，总是希望一个人能干五个人的事儿。一个人干五个人的活，能不加班吗？何况，愿意一个人干五个人的活的人也多的是啊，没见有谁多不情愿啊。 ,41.jpg,1,0,1
【#早安电台#】精通33种方言，会7国外语，数学、物理、哲学、心理学、语言学、戏剧、音乐各领域都有所建树，他是#卷王#也是#斜杠青年#。他就是赵元任。卷王也有很多苦恼，比如是到康奈尔大学担任物理讲师，还是做谢尔登哲学研究员？是接受蔡元培邀请到北大教哲学，还是到南京东南大学任教呢？最后...全文,42.jpg,0,0,0
#吴签#呜呜呜丑鲵删我评论,43.jpg,1,1,1
百度、阿里和字节，三家互联网巨头的产品同时推出人工智能产品，现在ChatGPT概念真是太热了.今天月日，有三家互联网巨头旗下的品牌发布或更新了AI产品功能。阿里旗下的钉钉，宣布正式接入“通义千问”大模型，钉钉总裁叶军宣布，钉钉产品将全面启动智能化战略，升级成为智能协同办公平台、智能应用开发平台。.字节跳动旗下的今日火山引擎，在其举办的“原动力大会”上发布自研DPU等系列云产品，并推出新版机器学习平台支持万卡级大模型训练、微秒级延迟网络，弹性计算可节省%算力成本。.百度的文心一言，在百度内部全面应用在智能工作平台“如流”，已经为全体员工开通使用。文心一言可根据员工输入的提示词生成大纲、招聘JD、新闻稿、宣传文案、邮件、调研报告等文案，也支持根据输入的文字生成匹配的图片，还提供代码推荐功能，帮助工程师在编写代码的时候实时推荐和生成代码。现在ChatGPT概念太火爆了，而催生这种火爆的都是曾经的互联网公司和科技巨头，比如百度、阿里、、字节跳动、美团等等。#大厂坊间八卦##文心一言##阿里所有产品将接入通义千问# ,44.jpg,0,0,0
Lol. ,45.jpg,0,1,1
#DREAM “you look so handsome”  thank you,46.jpg,0,0,0
Reminds me of this one that I saw at Zaxby's a while back. You're. ,47.jpg,0,0,1
Today's @DailyPicTheme2 is IYKYK..... #DailyPictureTheme#IfYouKnowYouKnow,48.jpg,1,0,1
"#坚果pro,拍出好气质#滑雪，带给人们速度与激情，呼啸而过的美景、丝滑的感觉是我们对生活的一种期待，一种圆满。当坚果Pro遇见冰雪又会有怎样的激情碰撞？锤子终于来了沈阳来自锤子科技的产品分析师为到场的朋友们分享了坚果Pro的诸多亮点，极简的外观设计、出众的操作体验，闪念胶囊、大爆炸等系统级功能如何带来高效的手机使用。另外，产品分析师重点讲解了坚果Pro在拍照方面的出众表现，采用国际顶尖元器件，万万的后置双摄，能够轻松拍出高清照片，并且还支出K高清视频拍摄，做到“鸡头级”防抖。在体验活动中，最刺激的环境非“极速滑雪视频拍摄体验”莫属，滑雪爱好者手持坚果Pro在极速雪道上飞驰而行，通过视频拍摄模式清晰记录着雪道的美景，虽然整个过程很颠簸、速度很快，但坚果Pro“鸡头级”的防抖实力充分保证了视频的效果。@锤子科技@锤子科技营销帐号@罗永浩#坚果pro##锤子手机##喜欢锤子手机的个理由#@沈阳怪坡滑雪场 ",49.jpg,0,0,0
【吴航街道，景美社区。以垃圾分类为名戕害业主，政策落地后不为人知的恶】前段时间长乐区祥乐花园开始的垃圾分类成了噩梦的开端，由吴航街道办牵头，景美居委会选点，辉龙环保建设的垃圾分类站就选址在了与居民楼0距离的保安岗内大门处，为了省事和省钱，近三十年历史的破旧保安岗临危受命，肩负...全文,50.jpg,0,0,0
从这几天京东公布的数据来看，罗手机品牌销量、手机品牌销售额、手机单品三项排名中均位列第四，成了最大黑马，贪有吃情的怀人还是很多，大家都想买回去砸核桃#锤子手机#,51.jpg,1,0,1
#吴签#今早点，我的淘宝首页，就想知道哪家品牌这么头铁瑞安市,52.jpg,0,0,0
呵呵，今天，笑果文化公开招党务主管、舆情专员等，要求政治意识强，具有大局意识。#笑果#,53.jpg,1,0,1
今天真的是被种草了在微博上看到有人在使用讯飞输入法可以听写上海话等多地区方言还能够语音翻译这是我第一次使用第三方输入法体验上有一些与iOS原生输入法中的差异需要习惯一段时间app内有主题设置特别的是还有昨天发布的Smartian.版本的输入法主题相当不错的一个App#锤子手机##讯飞输入法# ,54.jpg,0,0,0
天降耐克。@NIKE#耐克#郴州大树下村,55.jpg,0,0,0
#锤子手机#可能是史上最坚强的T@锤子科技今天被熊孩子摔到半裸，幸好手机质量好，还能正常用，虽然很生气，但是由于今天是众所周知的节日，忍了,56.jpg,0,0,0
I have seen many people sway with the news that Sony is pushing their PC ports and that PlayStation is becoming a useless console. I don’t agree with this at all. #Sony #PlayStation5 #pcgaming #Steam 1x,57.jpg,0,0,0
"Just chill, UCI has 100% controlthe advantage of the car is neutralized by the height of the sockseverything measured, calculated and compared Nothing to see here  @Vaughters #agr23 #agr2023",58.jpg,1,0,1
江西工业职业技术学院是创造了新物种吗？重新定义鸭脖#鼠鼠我鸭##涉事学校曾因老鼠事件被联合执法#,59.jpg,1,0,1
"Oh joy, a veritable VIP list of traitors. I'm sure the @TheJusticeDept is just chomping at the bit to dish out some justice. ",60.jpg,1,0,1
Uh oh. Looks like the U.S. is about to recognize Juan Guaido as the president of #Iran which will bring much needed stability and safety to the women and children of the fledgling democracy. #shade   httpstwitter.comAZgeopoliticsstatus1631358990683709440,61.jpg,1,0,1
"If crazy Rightwing #ammosexuals did , then it would be the best irony in the world.",62.jpg,1,0,1
翻资料看到这张照片，发现锤子手机真的拍照也很不错啊#锤子手机#,63.jpg,0,0,0
"That's odd darling given we mentioned that in the very first tweet of yours we responded to. As you have trouble consuming information, see the pic below where we explained that you need to BRUSH up on your , because it is weak darling. LOLNot very bright are you",64.jpg,1,1,1
"Coming up on this Saturday night!Ikumi Koyama Trio live at Sappho from 9pm, don’t miss ithttpsappholive.com?posttype=eventsp=5728fbclid=IwAR092JLbVK1QiFNhP3FILzkZT5y2CpWF4vD1iuFgXg9uAPq5lNWGsjW7oHA#Jazz #Live #ikumikoyama #Taiwan #taipei #japanesewoman #jazzpianist #jazzsinger #Saturday #evening # # # # #musicislife # #",65.jpg,0,0,0
#锤子手机#锤子全面屏手机实验品...？！,66.jpg,1,0,1
#耐克喜力#NKDunkSBHeineken,67.jpg,0,0,0
"Since the beginning of the year, inflation is running so hot  that precious metals can keep up with it  @HenrikZeberg",68.jpg,1,0,1
谁说坚果手机拍照不好看???#锤子手机##坚果手机##手机摄影##坚果r#@锤子科技,69.jpg,0,0,0
I'm hiring Virtual Assistant with 01 Year on Hirey! Connect with me directly on the app if you're interested in this job or joining our team.#hiring #jobs #recruiting #jobseeker #hr #resume #remote #career #workhttpshirey.comwebhirey?type=1p=ODYyNzU5MjM5OTY4NTAxNzYwt=1685889566633791463name=Progress%20residentialcategory=Virtual%20Assistantuid=NzcxOTJiMGJkMTEwNGRmYjk0OGIyZDg3ZjQzNjU=source=shareshareid=77192b0bd1104dfb948b2d87f43651685889566633,70.jpg,0,0,0
家庭成员无法沟通才是最致命的。底层家庭之所以矛盾重重，除了金钱方面的原因，还有个重要的原因就是头脑多数拎不清，理解和表达双重障碍，因为一句话一件事闹得家里鸡飞狗跳，从来不会好好说话，就是挖苦，声声似刀扎得你生疼，不存在理解、宽容，更别提和谐二字。,71.jpg,1,0,1
"This is embarrassing. A person who doesn't read financial statements  pushes vapid, baseless nakedshort conspiracies being interviewed by a news anchor who took money to pump stocks  paid an SEC fine for it. $MMTLP $AMC $APE $GNS $BBBY $HLBZ $MULN $CEI $CTRD",72.jpg,1,1,1
文心眼中的女性。。。这在国外高低打个种族歧视吧#文心一言##文心一格#,73.jpg,1,1,1
#Vacancy Membership Engagement Manager  Children's Cancer and Leukaemia Group  RemoteHybridLeicester  3034k. @CCLGUK #membership #jobs httpsbuff.ly42bEEmz,74.jpg,0,0,0
吴签这么快就放出来卖麻辣烫了啊#吴签#,75.jpg,1,0,1
#锤子手机#,76.jpg,0,0,0
是自己运气不好，龙哥您不用低头。#罗永浩#@罗永浩,77.jpg,1,1,1
Quality Living in Omaha Nebraska is #Hiring #nurses #FitnessMotivation #healthcare #RN #nurse New Grad's Welcomed! #medicalstudent #Medical #Job #Jobs #Omaha #Nebraska httpssecure.careerlink.comsearch?lookin=titledescradius=30employer=QualityLivingorderby=relevanceadvanced=advanced ,78.jpg,0,0,0
#文心一言#终于通过内测申请，没想我的第一件事儿，竟然是把水印给去除.....一方面是会担心发出的图片上满屏的水印漏出、另一方面看着水印的确很不舒服，密恐，理解理解，数据安全要紧，支持,79.jpg,0,0,0
"2023年6月1112日,沙特阿拉伯王国投资部将在位于利雅得的阿卜杜勒阿齐兹国王国际会议中心举办中阿合作论坛第十届企业家大会。本次会议的主题为“共建繁荣”,旨在通过战略合作支持和促进经济、贸易和投资等领域的合作关系,以创建符合中阿共同利益的解决方案。中阿合作论坛第十届企业家大会...全文",80.jpg,0,0,0
"“INTERSTING?!!!”Thanks for the backhanded condescending compliment ! I’m sure true lovers of Cinema, @VinegarSyndrome and @TromaTeam and @BreadAndCie will be so grateful!",81.jpg,1,1,1
申请一下...感觉很快人类就要迷失在无数AI模型和产品中了哈哈#文心一言#,82.jpg,0,0,0
男人与女人的思维模式差别还是蛮大的。我看有人说在职场上夸女性“今天裙子漂亮”，女性其实心里很不爽就不太理解。我家猫告诉我，优秀的职业女性其实不喜欢这种夸奖，希望在工作中“去性别化”。性别标签让很多职场女性不舒服。如果实在没话找话想夸职业女性，见下图：,83.jpg,1,0,1
#上海爆料#@上海发布@上海黄浦@上海高院@上海浦东新区法院你们肚量挺大，面对每天问责、讽刺挖苦和几乎是骂人的攻击，表现出奇的冷静和淡定，若无其事的姿态似乎在显示能容的胸襟，其实都知道你们已经一脚踏进了犯罪的泥沼，不敢有半点疏忽，否则就是立马进监狱。,84.jpg,0,1,1
"Leaving doc's after follow up visit ref my injury, realised I'd parked in same relative position to the parked car as my position next to driver that drove into me.@ASPolice claimed I could have been in his blind spot so should share responsibility #SMIDSY",85.jpg,1,0,1
Me and my spouse deciding where to go for dinner. #StockPhoto #meme #nerdgonAlley #memes #stupidmemes  #entertaining #wtfmeme #memehearted #crazymemes #memehumor #memeculture #memedose #unusualmeme,86.jpg,0,1,1
#锤子手机#终于有新品发布了！,87.jpg,0,0,0
#chatgpt##文心一言##通义千问#有没有公司可以训练一个基于人情世故大模型啊,88.jpg,0,1,0
#鼠鼠我鸭#到底是鸭脖还是鼠头，照片看着确实有的像鼠头，但只是牙齿像罢了，死后的老鼠头不是这个形状，老鼠毛也没这么长，白色像牙齿的是鸭子的筋络，经常吃鸭脖可以看到。学生为啥意见这么大，还不是因为食堂饭菜不好吃，饭堂饭菜不好吃是世界性难题，大锅饭做不到好吃又便宜。对比以前的学校饭堂，价格上很实惠了，基本没怎么涨，质量上肯定也不会有什么提升，但希望做到安全卫生。深圳 ,89.jpg,1,1,1
#鼠鼠我鸭#、大家发现个问题没有，会不会是送检之前被调包的可能？、我是百分百相信市监局的通告，我也是百分百相信，检验人员有甄别老鼠头和鸭脖子的能力。、我也相信政府权威部门，不会愚蠢到为一个外包食堂背书，这可是政府职能部门比黄金还宝贵的信誉招牌。、为解除公众的疑惑，市监局可以将送检标的物的高清照片公布于众。 ,90.jpg,0,1,1
To know more click httprupay.co.in@RuPaynpci @Joyalukkas#RuPay #Offer #inox #Online,91.jpg,0,0,0
真“漂亮得不像实力派”@锤子科技@罗永浩@坚果手机#锤子手机##坚果Pro#,92.jpg,0,0,0
#文心一言#行了，放心了，至少百度的AI取代不了人。,93.jpg,1,1,1
终于迎来了一个晴天的周六#hm#看不懂这期hm与海绵宝宝合作款#吉之岛#10元均一，人长大了，不买零食选择买菜和饮料,94.jpg,0,0,0
"OFFER ALERT Congrats to Armon Richardson on his offer from Saint Francis University!!'24 WRDBCoatesville Red Raiders, NJMore Info httpGoMVB.comarmonrichardsonFollow @ArmonRichardsonCoach @CoachMattOrtega#gomvb #hsfootball #studentathlete #collegerecruiting #offer",95.jpg,0,0,0
文心一言对国球的理解严重偏离#文心一言#,96.jpg,0,0,0
#鼠鼠我鸭#这不睁眼说瞎话吗还反复对比鼻眼嘴牙的都有非说是鸭脖真应该把鼠鼠鸭脖送给这些人,97.jpg,1,1,1
#潮鞋##耐克ZoomxInvincibleRunFK3透气缓震跑步鞋#,98.jpg,0,0,0
#文心一言#可以投诉吗,99.jpg,1,0,1
人工智障#文心一言#,100.jpg,0,0,0
卷王能不能滚出？,101.jpg,0,0,1
"Why guess? 810 of the top 10 are @GOP states. West Virginia is the biggest charity case. Limited federal government, eh? ",102.jpg,1,0,1
#鼠鼠我鸭#这他吗是鸭脖,103.jpg,0,0,0
#锤子手机#新品发布会将在.日举行，又可以听@罗永浩的单口相声了,104.jpg,1,0,1
Don’t try this at home #fun ,105.jpg,0,1,1
文心一言测试#文心一言#ChatGPT,106.jpg,0,0,0
#文心一言##人工智障#这就是文心一言你给我的假期旅游规划？？？？#你的五一假期安排#你还能再智障些不这是在摸鱼吗#百度#,107.jpg,1,1,1
"Do you know who’s really dangerous, #LalaKent? A person who brags about posting false reviews in an effort to ruin a restaurant that employs innocent people who had no involvement in the #VanderPumpRules scandal . . . and then laughs about it on national TV.   ",108.jpg,1,1,1
#文心一言#体验,109.jpg,0,0,0
在家隔离两天，翻出来了一部锤子想想那会经费紧张，但又喜欢老罗以及锤子，就买了这个坚果。一步的跨应用使用当时真的惊艳放到现在也觉得很牛逼真心觉得罗老师的《真还传》大结局之后，还能再次踏进科技行业或者就是手机行业。@罗永浩#锤子手机##坚果手机##交个朋友直播间#上海 ,110.jpg,0,0,0
#重大新闻#2019年度“商之韵”发刊仪式于明日16：25正式开始。这一次，不光有好看的舞蹈，好听的歌曲，还有超逗的相声，有趣的游戏，如果这些都吸引不了你，那精美的小礼品呢？这么多节目，总有一项让你满意，明天16：25我们不见不散。兰州兰州财经大学,111.jpg,0,0,0
这5年增加的每千人企业数达到111.1户？其实这可能指得是所有类型的企业，包括外资企业、合资企业及民企，外资企业一直是上海的大头，所占企业比例数量可能应该远远超过其它大城市比如广州、深圳。上海企业的经营项目应该会更加体现在多元化、并且各产业可能比较均匀分布？,112.jpg,1,0,1
#经济#上海交通大学#长三角一体化##轨道交通##市域铁路网运营面临这些主要问题：多元主体的协调统一、运营模式的合理选择，以及运管规则的统一构建。比如，信号、供电制式、限界、车辆、车站设施等方面，都需要相对统一的标准。还有各地区运营资质互认、运输计划统筹安排、运营模式确定、票务...全文,113.jpg,0,0,0
#鼠鼠我鸭#鼠鼠我鸭，最喜欢钱了,114.jpg,0,0,0
#重大新闻#【我市发现世界级天坑群！绝美地貌景色！】我市发现分布有49处天坑的罕见世界级天坑群，分布在宁强，南郑，西乡，镇巴。其中，常规天坑31个，大型天坑17个，超级天坑1个圈子崖天坑口径520米，深度380米。坑内有原始林区，部分坑底还有溶洞，洞内分布有石钟乳、石笋、石田、石珍珠等。此...全文,115.jpg,0,0,0
We ‘Embrace’ the sun at Stonebridge Beck!#FridayFeeling #property #home #house #family #kids #yorkshire #conversion #showhome #showhomes #familyhome #newbuild #newbuildhome #StonebridgeBeck #art #sculpture #history #HistoricLeeds,116.jpg,0,0,0
"Today while taking a break from my job, I played job simulator  #psvr",117.jpg,1,1,1
#市监局回应反复对比确认是鸭脖#从此以后，你就叫鸭脖了。。#鼠鼠我鸭#,118.jpg,1,0,1
Don't be that guy,119.jpg,0,1,1
#StockholmSpring2022##HMStudio#,120.jpg,0,0,0
限时代问小编本人有文心一言内测码，有需要代问的可以评论留言，小编在线代问，限时一小时，欲问从速！#文心一言##百度自己的黄牛#,121.jpg,0,0,0
#笑果#反賊們一般看到這種都會選擇性眼瞎,122.jpg,1,0,1
#HM#,123.jpg,0,1,1
#日全食##文心一言#百度你要加油！,124.jpg,0,0,0
申请的#文心一言##百度#可以提问啦，,125.jpg,0,0,0
"What's the fuss all about? It's clear who will #win the #IPL2023Final i.e. #GTvCSK . While #MSDhoni is marshalling his troops well, #HardikPandya has the numbers behind him! #drinks #drinksdelivery #kolkata #IPL2023Final",126.jpg,1,1,1
#吴签#吃瓜,127.jpg,0,1,1
"After many Covid years, @StGeorgeOCSB junior students were able to again visit the #House of Commons amazing temporary location! and the #SupremeCourt to learn about our parliamentary and judicial systems. The highlight is always the mock trial! Guilty or not?!",128.jpg,0,0,0
#鼠鼠我鸭#鸭子终究是承受太多了!之前鸭子和马，现在鸭子和老鼠,129.jpg,1,1,1
坚果R用了一个月，尽管别人不理解，但我自己还挺满意。但是昨天晚上用着用着，突然花屏了，后来发现官方论坛全是反馈花屏的。我联系售后就推脱，让我维修？合着我首发支持你们买的新手机，没有啥优惠也就算了，就该拆机维修？我也是找不到别的途径，只能来微博了。手机有质量问题，请不要让支持你们的粉丝买单，否则会寒心。@坚果派pai@坚果手机客服@朱海舟#坚果r##坚果手机##锤子手机##坚果手机新品发布会# ,130.jpg,0,0,0
"Boothie, because are you even a real voice actor if you don’t?  Happy Friday errybody!",131.jpg,1,0,1
新物种，鼠鼠我鸭#鼠鼠我鸭#,132.jpg,1,1,1
"Casa GU design by @estudioeva.mx Get Inspired, visit httpmyhouseidea.com#myhouseidea #interiordesign #interior #interiors #house #home #design #architecture #decor #homedecor #casa #archdaily #beautifuldestinations",133.jpg,0,0,0
#小米#分享图片如何评价号雷军微博上发布的唉字？@小米手机@雷军@王思聪@公益人马蓉#锤子手机#,134.jpg,0,0,0
Blessed to say I have received another d1 offer from the university of Missouri thank you coach charlton young #agtg #offer #Missouri,135.jpg,0,0,0
庆祝@罗永浩相声大会开幕，来一波福利，为老罗打打气，向他这种永不放弃的精神致敬！.日，从转发中抽人。送老罗发布会新款手机一部。@微博抽奖平台备案，童叟无欺#锤子手机##锤子科技##坚果手机##锤子R手机##R手机# ,136.jpg,0,0,0
Urgent help needed #FunTweet,137.jpg,0,0,1
叶芝的《什么都可诱使我》原名《分心》，大概是表达一种自己从年轻时的激情浪漫，到现在已经逐渐冷却、审视、质疑的状态。《浪漫派》从这一句引用开始，emmm，感觉也是很冷。感觉“浪漫派”这名字就有点反讽根据我所知的有限资料，以及他的诗中也常有象征性的表达，叶芝常常陷于欲望与精神的...全文,138.jpg,0,0,0
"I'm sure threats from Governors and legislatures regarding tenure, CRT, and the like are really pushing those campuses further left, causing students to go further right. All those DEI efforts have really left a widely diversified faculty all around, too.  So liberal.",139.jpg,1,1,1
I love when I see statements like this posted in Twitter chats where the same conversants were convinced yesterday that a man's #DARVO story was absolutely true.  is dead. #TuesdayFeeling#FactCheck #hypocrisy,140.jpg,0,1,1
OneAI，这个软件真的很神！哇！你发现了一个真正神奇的软件！OneAI确实是一个让人惊叹的工具，它能够以前所未有的速度和准确性回答你的问题，解决你的疑惑。无论你是需要帮助做决策、寻找信息、还是处理数据，OneAI都可以帮你轻松搞定！不仅如此，OneAI还能不断学习和进化，变得越来越聪明！所以，如果你还没有体验过OneAI，那么你真的错过了一个了不起的东西！#ai##AI##iPad##iOS##文心一言# ,141.jpg,0,0,0
