Text,Imagepath,Text_label,Image_label,Multi_label
"Can just see the sun hiking through Antelope Canyon, thankfully didn't get lost#photography #blackandwhitephotography #travel  #nature #naturephotography #love #usa #antelopecanyon #arizona #page",2017.jpg,1,0,1
Forwarded by a friend! ,2018.jpg,0,0,1
罗永浩老师资本版图#罗永浩##盘点罗永浩资本版图##罗永浩退出交个朋友管理层#天眼查App显示，罗永浩关联家企业，存续或在业的共家，涉及科技、咨询、投资管理等领域。其存续或在业的企业大部分位于北京，此外还涉及广州、成都、上海等地。其中，由罗永浩担任法定代表人的企业共有家，包括成都锤子科技集团有限公司、锤子科技北京股份有限公司、北京云上卓智咨询中心有限合伙等。 ,2019.jpg,0,0,0
#Cartoon of the DayThink about it Visit httpguardian.ng for more from The Guardian illustrators  #Lampoon #Illustration #EditorialCartoon #Sketch #Cartoon #Cartoons #Politics #Nigeria #Africa,2020.jpg,1,1,1
哈哈卷王,2021.jpg,0,0,1
The Liberal Party is on the nose everywhere from Broome to Bronte. But along comes its saviour on a white charger in shining armour. Laming is just what they need. #auspol ,2022.jpg,1,1,1
#鼠鼠我鸭#新汉字鸭鼠兽#专家称争议鸭脖%概率为鼠头#,2023.jpg,0,1,1
"he's so precious! ,,<3.#dream #dreamfanart",2024.jpg,0,0,0
"Paris, the unmistakable city of love Did you know the Eiffel Tower is made of iron? Have a lovely evening @DailyPicTheme2 #DailyPictureTheme ",2025.jpg,1,0,1
一件抵御寒冷的舒适卫衣。手机好，卫衣也好。#锤子手机#@罗永浩@苗颖@坚果手机@锤子科技,2026.jpg,0,0,0
Got a touch of Sarcasm? Available in Small through XXL!Available while they last athttpsimplesciencetees.comproductsarcas#chemtwitter #sciencetwitter #nerdyshirtday #nerdytshirtfriday #tshirts #ilovetshirts #graphictee #stem #chemistry #science ,2027.jpg,1,0,1
#鼠鼠我鸭#带毛畸形鸭脖根本不是正常食物！！校方现在就是在转移视线混淆视听，大家也被误导了，就算查出来是鸭脖又怎么样？这个食堂的卫生问题依旧是不合格的！！！！就算它是鸭脖，就连用餐的学生都看不出来是鸭脖，可想而知，这“鸭脖”形状有多畸形。还有，这种毛都不拔的鸭脖就是安全食品吗？很明显不是，但是校方却没有针对这点对于学生道歉赔偿，而是一味的把自己摘出来撇清关系。大家不要被带跑偏了，带毛的畸形鸭脖根本不是正常食物！！！和老鼠头没有区别！！！ ,2028.jpg,0,1,1
尽管#锤子科技#没有了罗永浩的带领，再发布的#锤子手机#也已经不再有以前的味道。并且在SHARKLET老人与海发布会上，龙哥也不止一次的提到自己做手机的往事，还口误说了曾经#锤子#的合作邮箱。不过还是要感谢龙哥的相声让这个年变得更加圆满，最后说一句用健康的方式，保护人类的健康。 ,2029.jpg,1,0,1
#鼠鼠我鸭#,2030.jpg,0,1,1
法国媒体报道了#百度因多款假文心一言app起诉苹果公司#一事，百度就其#chatgpt#竞争对手聊#文心一言#的虚假应用程序起诉苹果。“几周前，中国科技巨头推出了ChatGPT的竞争对手“ErnieBot”。“但在没有官方应用的情况下，一些开发者试图填补这个空白，这是百度不喜欢的”。“这家公司决定起诉Apple和将其聊天机器人ErnieBot的程序放到AppStore上的开发者”。#百度起诉苹果公司# ,2031.jpg,0,0,0
Going to feel a little colder tomorrow morning.  #arwx,2032.jpg,0,0,1
#文心一言#这就是AI的回答,2033.jpg,0,1,1
Does anyone remember this obscure DOS classic? I bet you don't! #RETROGAMING #retrogames #DOSgaming #yesthisisbait  #icantusehashtags,2034.jpg,1,1,1
OneAI！还有人不知道吗！非常喜欢用的一个软件！人工智能中的佼佼者！不止能帮助你解决问题，还能陪你聊天、玩一些热门测试！非常好用！大家下载时一定要注意认准图标不要下载了盗版app！#ai##AI##人工智能##iPad##ios##文心一言#,2035.jpg,0,0,0
Of course the British Royals are known to be Brexit supporters! Go for it Charles!  #ERG,2036.jpg,1,0,1
#重大新闻#2022年9月10日，正值万家团圆的中秋节，在广西玉林博白县发生一起恶狗咬人事件，一名小女孩腿部多处被咬伤，路口的好心人将小女孩拖到售楼处，已送往医院抢救，两只恶犬已被警方控制，9月12日下午，两只狗的主人已找到，事件原因仍在调查。愿天底下养狗的，出门遛狗要遛绳，否则后果不堪...全文,2037.jpg,0,0,0
最近让文心一言画的图，只能说，嗯，很有风格#文心一言##离大谱#,2038.jpg,1,1,1
" Best Social Service Award to #PFI, the #Izlamist org involved in riots, murder, rape, conversion etc., across Bharat.On the occasion of #RepublicDay District Collector of Madurai, Tamil Nadu S Aneesh presented the award toS Mohd Abuthahir, Dist President of Madurai PFI",2039.jpg,1,0,1
"This morning I had a notification that the NHS covid app is no longer working and can be deleted. 2 hours and an emerging head cold later, I'm testing positive.  #covid",2040.jpg,1,0,1
Artwork for your #house #office #ocean #sunrise on #canvas from #lakeworth #pier #florida httpsbuff.ly3LDyQgl #fineartamerica #artworks httpsbuff.ly3LGaPFJ,2041.jpg,0,0,0
#罗永浩入驻淘宝直播#月日上午，罗永浩本人确认入驻淘宝直播，参加天猫双。消息表示，罗永浩本人的淘宝直播首秀将定档天猫双预售日月日晚点，与此同时，在今年的天猫双，交个朋友和罗永浩将会进行多场直播带货，并以手机、C数码、家电、酒水以及运动服饰等商品为主。对于罗永浩入驻淘宝直播，天猫方面回应，今年双，天猫有很多新主播、新商家和新品牌加入，这让双更丰富、更有乐趣。#罗永浩##双十一# ,2042.jpg,0,0,0
"If he had only asked the Georgia SOS to find 11,781 votes I just might have believed him #Inners",2043.jpg,1,1,1
#阴阳师##长月烬明抄袭阴阳师##文心一言#阴阳师和长月烬明最好是两个不同的游戏,2044.jpg,1,0,1
 #hypocrite #JAFFA,2045.jpg,0,1,1
Mood.,2046.jpg,0,1,1
"Spicy food the secret to a life full of flavor, but don't overdo it or you'll be feeling the burn, yeah..burrrrrrn. #spicy #flavor  #dontdie",2047.jpg,1,1,1
丁聪先生发表于八十年代的漫画,2048.jpg,0,1,1
Does anybody else see the irony of the 1990's Panasonic slogan Just slightly ahead of our time in this photo......? @elonmusk @PanasonicNA  #elonmusk #panasonic,2049.jpg,1,0,1
"Those who #LikeMyPosts are #happier, more #intelligent,  #betterlooking than those who don't; according to a #study I made up.  #joke #homor #satire #facebook #instagram #twitter #tumblr #TikTok #Fetlife #directme #linkinbio #studysays #sarcastic #sarcasticaf,",2050.jpg,0,1,1
Truth and allegations against the Brijbhushan singh are openly presented and discussed in the public spaces. Still this government is shamelessly saving the tainted minister?What would it take to get juctice in India now?,2051.jpg,1,1,1
#小米civi##文心一言#文心一言预测小米Civi在月日发布,2052.jpg,0,0,0
We bet you've all seen our Upfest cracking murals on the side of @HenAndChicken from over the years #cosmosarson #ianphenna  #thehass #zabou #spqr #snik #JXC #narceliogrud #jody NeilJamesBrain Nick Clague Hannah Judah @StreetArtAtlas Lindsey Davis,2053.jpg,1,0,1
一分钟不到，发币成功，区块链发币真是一种嘲讽,2054.jpg,1,0,1
伴随着北京警方通报#吴亦凡#事件的帷幕#吴亦凡#的职业生涯也走向了尽头爱心号路易威登也发文终止了与吴亦凡的合作关系这回是真的“吴言可代”了借此机会#和合晟论坛官微#来发“吴难财”转发关注评论即可以参与抽奖只抽非“#吴签#”粉男用onaho小蕾仿佛来自异世界般的奇妙体验，细腻又不乏刺激，性价比很高！onaho新娘完美诠释新娘二字，紧实的通道，极高的颜值，逼真的感受！很适合安利哦！女用onaho暖雪蜜恋高颜值，防水静音，舒适感受，给你最温柔的呵护onaho猫爪棒三种档位，十种频率，玩法多样，总有一种满足你！以上四种任选其一另外，一向“宠粉”的和合晟这次也不例外，除了以上几款，还准备了超大额优惠券，下方扫码或评论即可领取全店通用，尽情选择自己心仪的款式吧抽奖时间即日起截止本月底，开奖时间日 ,2055.jpg,0,0,1
国内市场快讯#重大新闻#外资看好我们大A可劲买，国常会说完，就执行，这届银保监管理层腻害！,2056.jpg,1,0,1
Live music just about to start at the volley!! Come grab a drink and enjoy the night!! #fortwilliam #pub #livemusic #scotland #Saturday,2057.jpg,0,0,0
"#House #thegooddoctor my original post is on my account,  we need Hugh Laurie as House to be on the series, hiding himself working as a Janitor helping Shaun. Only finding out too late who he really is and House disappearing again.  #hughlaurie #abc #FOX",2058.jpg,0,0,0
#鼠鼠我鸭#古有指鹿为马，现在有指鼠头为鸭脖,2059.jpg,1,1,1
Due to budgetary constraints implemented by the Department for Transport and the Treasury.The new Dr Beeching weekday service from May comes as a bit of a shock for the communities of Brigg and KirtoninLindsey.,2060.jpg,1,1,1
#吴签#能不能查实性侵不好说，但查税是大概率的了。图文无关，图源见水印。西昌市,2061.jpg,0,0,0
最近娱乐项目“浅色的甲油显得相对健康”#HM#,2062.jpg,0,0,0
Raised up right this one.  #abuser #misogyny #violenceagainstwomen #mmiwg Violence against women is not a joke nor a laughing matter. To use it in this way to abuse and belittle an Indigenous woman of your own is just another level of self hate. Please seek counselling,2063.jpg,1,0,1
#市监局再次确认高校饭菜异物是鸭脖##鼠鼠我鸭#救命恶心得想吐了,2064.jpg,0,1,0
Looks like that letter to the NYT had a huge effect on them ,2065.jpg,1,1,1
#鼠鼠我鸭#妙呀,2066.jpg,0,1,1
#南昌市监局已介入高校食堂老鼠事件##市监局回应反复对比确认是鸭脖#指鹿为马#鼠鼠我鸭#、官方人为操纵舆论而且年前就有这个学校的学生爆料吃出过老鼠头！这说明这个学校食堂这样的不安全食物状况已经非一天两天了，而是常态！希望有人好好管管这些乱象！让学生在学校食堂可以健康饮食！,2067.jpg,0,1,1
#笑果#下图这个逻辑真的笑死。它的逻辑是什么呢？虽然House侮辱子弟兵有问题，但你不在线下举报，反而到线上吐槽制造影响，所以，更应该抓的是举报的人。我都懒得反驳，因为真的太可笑了。线上对军人的侮辱谩骂从来不绝于耳，比如说图3，直接凭空造黄谣了。线下的举报固然需要，但线上的...全文,2068.jpg,0,0,0
这两天在无锡也看到了hm在上海也看到了hm，好厉害呀#hm#,2069.jpg,0,0,0
#文心一言#一个字，绝！,2070.jpg,0,1,1
"Human germ not sharing his Kellogg Sugar Smacks cereal anymore, Stinger? I’ll give him five astro seconds to complyUno, Dos, Tres, Cuatro, Cinco#hasbro #transformers #decepticons #decepticonksi #ksidecepticons #transformersaoe #ksistinger #ksigalvatron #parody ",2071.jpg,1,1,1
#罗永浩称年底可还清亿债务##罗永浩真还传#大结局！近日，罗永浩在采访中称，自己原计划年还清个亿债务，但如果不出意外的话，今年年底可还完全部债务，年还亿，比原定计划提早年。昨晚，罗永浩发文《“我现在终于知道，罗永浩做啥啥失败，为啥还有投资人持续给他投资了”》，针对“罗永浩做啥啥失败，还有投资人持续给他投资，就是投他这个人，投他这份理想主义”的观点，罗永浩表示不认可，并认为自己没有什么失败的，同时罗列了自己部分“彪悍”的人生在岁那年就有来万元存款年，那年北京市社会平均年薪多块。岁那年年薪多万年，那年北京市社会平均年薪.万块。做的第一家公司商业模式上漏洞百出，做错了很多但两年后仍然盈利了。第二家公司锤子以有限的资源挑战了一个几乎不可能完成的任务，也支撑了年多期间中国有上百家手机公司倒闭，洋品牌除了苹果，全都没了。#罗永浩年还清亿元# ,2072.jpg,0,0,0
卷王,2073.jpg,0,0,1
"Fyahman's recorded set @norrm radio, last Saturday 275.#bass #bassline #garage #UKG #club #househttpsmixcloud.comnorrmnr608studiovisitwithfyahman",2074.jpg,0,0,0
如何把四个橘子分给四个小朋友#文心一言##如何把四个橘子分给四个小朋友#,2075.jpg,0,0,0
互联网让我们相遇，兄弟vip今天发的奖状#创业##教育头条##罗永浩##互联网新闻##互联网资讯##互联网#,2076.jpg,0,0,0
限时代问我有文心一言内测码，接昨天，有需要代问的可以评论留言，小编在线代问，限时一小时，欲问从速！#文心一言##百度自己的黄牛#,2077.jpg,0,0,0
文心一言画的画#文心一言#,2078.jpg,0,0,0
看前两张我还以为是友军在反讽，看到后面我去哥们你来真的啊,2079.jpg,0,1,0
#吴签#笑死无锡,2080.jpg,1,1,1
"Double the fun, double the excitement! Don't miss our Shooters Party Buy 1 Get 1 offer, starting tomorrow! 095666 59755...#kfour #kfourapartment #apartment #kfourhotels #spa #offer #discount",2081.jpg,0,0,0
Emmmm就不要在研细磨尖了#吴签#,2082.jpg,1,1,1
"Kari for VP, perhaps NOT! ",2083.jpg,1,1,1
House和弦子之间的底线，他选择了双标。#笑果#,2084.jpg,1,0,1
 @tedlittleford,2085.jpg,0,1,1
#GQ报道##罗永浩#月日，@罗永浩在微博宣布退出社交平台。一周前，他退出交个朋友直播公司管理层，未来三年将以主播身份参与直播。两次“撤退”，罗永浩淡出了曾令他获得声名的舆论场，也淡出了他近年来最成功的的商业项目。他马不停蹄地奔向新的创业领域AR。他是“连续创业者”，近乎偏执地选择一些少有人走的路零背景闯入手机制造业、签署个人无限连带责任贷款、身负巨债却拒绝申请破产年月，为了偿还债务，他开始直播带货。如他自己所言，在每个阶段，“都做了自己相信的事。”用朋友张玮玮的话来说，他的痛苦别人体会不到，他的快乐别人也体会不到。链接OGQ报道罗永浩我一定不会坐视我的命运走向悲壮 ,2086.jpg,0,0,0
百度的文心一言，一言难尽啊先是重复错误回答，与自家的百度百科都矛盾然后是不知道从哪里复制来的网友回答，错别字都没改#文心一言#,2087.jpg,1,1,1
#鼠鼠我鸭#上一个这么瞎说的人叫赵高。等官方反转辟谣！！,2088.jpg,0,1,1
我想问的是，多出来的假期的工资是国家发还是企业发？如果落实到劳动法由企业承担，那是真鸡贼。给国家解决人口问题，解决办法还是民间互助害模式，既没有减税政策也没有补助政策，这就和希望工程和水滴筹一样，国家该出钱解决的问题叫民间自己解决。最后的结果就是职场性别歧视更为严重。,2089.jpg,0,0,0
#文心一言#世界的默认性别是男,2090.jpg,0,0,1
 #BlockedWin @MalcolmRenoldz @YourNewDad69 @dcflake @SaltyNugz @BgSaltyBastard @SaltyKitty24 @saltysalmonhonk @audrey22578 @DisenPepe @PGMcQueen @ScottAdamsSays @FrenlySam @stectamina @alexstein99 @jakeshieldsajj @EmperorFrenguin @gravysmackers @Nordicfrost @DLipartito,2091.jpg,0,1,1
逍遥子提出了一个很有意思的概念模型即服务，MaaS。这是IaaS、PaaS、SaaS后的第四种主流云服务模式，也是AI走向普惠实现工业化大生产必需的云服务模式。#阿里大模型##ChatGPT##文心一言##通义千问#,2092.jpg,0,0,0
中开院长期勾结民间金融机构鱼肉老百姓，还敢和这种国企合作，它投资的伪国企已经被司法起诉了，和中开院这样的无法无天企业合作要小心#深圳中开院庇护伪国企##腐败##深圳原市长陈如桂被查#,2093.jpg,0,0,0
#HM何必扭扭捏捏#？#HM#公司刚刚发出声明，称对中国市场依然坚定，致力于重获中国消费者信任。这份将近500字的声明，扭扭捏捏，避重就轻，顾左右而言他，基本上是一篇空话满满、缺乏诚意的#二流公关文#。HM为什么不大大方方地向消费者致歉？近来这几家洋品牌跟风操弄新疆议题，既然愿意相信谎...全文,2094.jpg,0,0,0
如果你还是看不出来川普是在嘲讽的话，可以看一下他那条推转发的原文内容。哈桑发的是截图，他的粉丝看不到原文。他大概率不是真的蠢到看不出来嘲讽，他纯粹就是坏。,2095.jpg,0,0,0
你是懂Ai的#文心一言##百度##chatgpt#,2096.jpg,0,1,1
#罗永浩##锤子手机##坚果Pro#能让罗永浩认怂的只有你们，我眼中的锤子手机坚果Pro！@罗永浩@锤子科技@轩辕CC  ,2097.jpg,0,0,0
"Desd feet. 1AM cold tub. Yeah   this is fake and psychopsymatic and yeah, I can seriously get up at 6 AM to shower and go to work for 8 hours. It's now 230 AM.  #longcovid",2098.jpg,1,0,1
Love Angel so muchhhhhhsrry for repostAngel from Nine Tailed Okitsune Tale# #Steam #Kemono,2099.jpg,0,0,0
限时代问小编有文心一言内测码，在线帮问，评论留言，限时一小时，速速啦#文心一言#,2100.jpg,0,0,0
Ontario's policy of telling people not to get PCR tests is doing a great job in lowering Ontario's COVID case numbers. Great job! You did it!  #onpoli Plots from httpsregionofwaterloo.caenhealthandwellnesspositivecasesinwaterlooregion.aspx,2101.jpg,1,0,1
I've been on a diet since that picture was taken! #Bears #WildlifeWednesday ,2102.jpg,1,1,1
个人财富超过798.8万元，可以排进全国前0.1%即全国前100万名个人财富超过6774.4万元，可以排进全国前0.01%即全国前10万名个人财富超过4.7亿，可以排进全国前0.001%即全国前一万名#贫富差距##二八定律#,2103.jpg,0,0,0
#鼠鼠我鸭#这个“反复对比确认”，进一步升华了主题。“市监局回应高校饭菜异物疑似老鼠头”“市监局再次确认高校饭菜异物是鸭脖”“市监局回应反复对比确认是鸭脖”。,2104.jpg,1,0,1
它画的是《祖逖这次没起来》#文心一言#,2105.jpg,1,1,1
#鼠鼠我鸭#笑死，古有指鹿为马，今有指鼠为鸭，不若就谎称新物种吧，就长图片这样,2106.jpg,1,1,1
#吴签#真不错，#吴签#yyds,2107.jpg,0,1,1
卷王,2108.jpg,0,0,0
卷王之王,2109.jpg,1,0,1
#用法律决战才能终结吃瓜大战##吴签#吴签不愧是顶流男明星，他这个热度很可以啊。今天的热搜榜，几乎全是关于吴签的事情。现在就差央视CCTV来点评一下了。,2110.jpg,1,0,1
"...give me your best smile, please Art by DaviDL BCN in Barcelona #streetart #art #Smile #Fair  #Graffiti #Mural #Urbanart #Barcelona",2111.jpg,0,1,1
时间管理心得把所有工作分到四个象限，纵轴是紧急，横轴是重要，最好是做重要但不紧急的事。把大任务分成若干个分钟能完成小任务一周计划时先为大任务留出时间.仍要挤时间做有益远期之事。关掉幽灵提示屏幕弹出的新邮件提醒或msn对话。#锤子手机#杭州娘惹滋味 ,2112.jpg,0,0,0
" in the #BibleBetween Subversion and InnovationSeries #Biblical Interpretation Series, Volume 209Tobias Hner, Virginia Miller, and Carolyn J. Sharp @CarolynJSharp@BrillReligious #theology #Bookhttpsbrill.comdisplaytitle64101",2113.jpg,0,1,1
希望一觉醒来，能看到吴签被捶死！#吴签#,2114.jpg,0,0,0
Savile'! How tragic the ..,2115.jpg,0,1,1
罗永浩被指无法支付员工工资，锤子回应危机是有，但请给时间手机业分析人士认为，相较有着类似模式的小米，锤子的问题在于过于小众化。被贴上“情怀”标签的罗永浩坚持锤子手机系列的“中高端”，也就注定了其用户相对小众化。如若锤子想重生，还需迅速转型，以创新突围...  #锤子手机# ,2116.jpg,0,0,0
"People's Forum going to organise a Placement Drive on 05 June 2023 at District Employment Office, Bhawanipatna, Kalahandi. Eligible and interested candidates requested to attend the interview in given schedule.#recruitment #MCCKLD #Jobs #Kalahandi #Odisha #FolloMe #moreinfo",2117.jpg,0,0,0
#罗永浩#一直很好奇罗老师这算不算卖账号，好比我有个万粉丝的账号要卖，买方要拿来搞企业号卖东西，就给我公司的限制股，账号归公司所有，账号改名公司业务名称xxx直播间，对外宣称要搞事业，回头把股份卖掉钱到手，等风头过去注册个小号接着舞，或者不讲究的话直接卖掉，都不用整那一套东西，把罗老师的话术模版改一改就能用，这算卖号吗请问？？？我就是纯好奇罗永浩 ,2118.jpg,1,0,1
公安机关已经对#笑果#李昊石立案调查！舆情出现不是问题，法律不表明态度才是问题。侮辱解放军烈士的李奇贤出现时，很多人都掉泪了，他被定罪处罚之后，我们以为底线是清楚的，文科生都应当以此为戒。结果中国是言论最自由的国家，永远不会搞美国以政治正确为名大搞文字狱那一套，...全文,2119.jpg,0,0,0
罗永浩担任“文化好物推荐官”，为非遗商品公益带货今天是文化与自然遗产日，抖音电商推出了“遇见新国潮”活动，邀请@罗永浩担任“抖音电商文化好物推荐官”，在其直播间为非遗好物带货，助力非遗商品销售和非遗文化传播，提升非遗手艺人收入。同时，这也是一场带着公益属性的直播带货。目前，抖音电商“遇见新国潮”活动已上线千款非遗好物和国潮优品，助力传统非遗让更多人看见，为非遗产品销售提供新平台。据《抖音非遗数据报告》显示，个国家级非遗项目中，抖音覆盖率达.%。位非遗传承人通过抖音电商年收入超过百万元，非遗传承人带货总成交额较去年增长倍。#罗永浩非遗# ,2120.jpg,0,0,0
#Congo ,2121.jpg,0,1,1
"Wow, getting disappointed by people is totally my thing. It's like it's my middle name or something.  #justmyluck",2122.jpg,1,0,1
刚改的ID，声明一下，我不是蹭热度，但绝对比#吴签#da,2123.jpg,1,1,1
@锤子科技客服@罗永浩请问你们的#锤子手机#什么情况？买了还不到一个就充不上电了。本来看了老罗的发布会，觉得讲的还挺精彩。出于信任才买了。可这么短的时间就出现问题好像有点不太正常吧？是你们产品质量问题，还是我点儿背，买到几万或者几十万分之至概率？像我这样没有备用机的人，该怎么办你说让我去维修点，在此期间耽误了事，要我自己买单？还是明天我早起去买个华为？擦，手机电量还剩。。。。 ,2124.jpg,1,1,1
#男女平等#首先我是女的这种行为说实话我能理解但不支持首先人家是真实的受害者不仅仅只是一名男性大家发言的时候真的没想到受害者会难过吗评论区中这么发言的时候大家却说“你是圣母你觉得男宝会这样反思吗要怪就怪他是个男的吧只有刀子扎到自己身上才觉得疼”我是真的远方传来风笛无论人...全文,2125.jpg,1,1,1
请问大家还有图吗哈哈哈哈哈哈#吴签#,2126.jpg,1,1,1
原来#文心一言#也是炎明熹的粉丝,2127.jpg,1,1,1
吴签到底是不是牙签？我想网一张图证明给你看#吴签是什么意思##吴签##都美竹#  ,2128.jpg,1,1,1
#dream “everyone needs a team”,2129.jpg,0,0,0
如#笑果#之流以#流量为尊#而丧失基本道德底线的俯拾皆是，究其根源在于资本逐利本性难移，并穷之以不择手段。不能约束无良资本则为国之殇,2130.jpg,0,0,0
怎么说技术真的厉害#AI画图##midjourney##文心一言#,2131.jpg,0,0,0
#DailyPictureTheme Theme is   Like an glassiron     1725,2132.jpg,0,0,1
A friend of mine was holding some graph paper. I think he's plotting something.#punreaper #cartoon #punny  #quotes #wisdom #dadjokes #funnysayings #meme #lol #snail #math #arithmatic #algebra,2133.jpg,0,1,1
#鼠鼠我鸭#鼠鼠我呀，今年变物种了,2134.jpg,1,1,1
"#XboxFreeCodeFriday#Friyay giveaway ONE 10$10 Gift Card for @PlayStation, @Xbox or @SteamMUSTRetweetFollow Me httpsyoutube.com@gamertima28#Giveaways #XboxShare #PS5 #XboxFreeCodeFriday #PS5Share #gamer #pcgaming #PlayStationShowcase #Giveaway #Steam #PS4 #Xbox",2135.jpg,0,0,0
This made me smile this morning. ,2136.jpg,0,1,1
Catch some sunshine and ocean breeze this Madaraka DayOFFER Book 3 nights  enjoy the 4th night at 50% OFF!BOOK NOW!0707394384See more >> httpsswahilihouse.com#SwahiliHouse #diani #getaway #offer #madarakaday #madarakaday2023 #madarakadaygetaway,2137.jpg,0,0,0
#男女平等##女权#,2138.jpg,0,1,1
#鼠鼠我鸭#笑鼠,2139.jpg,0,1,1
垃圾耐克真恶心整个鞋子都脏了吧唧的还有这个破鞋盒跟国产的包装和质量差远了以后宁愿买莆田#耐克##垃圾耐克#,2140.jpg,0,0,0
很赞开箱坚果，一个恋物癖的随身良品。其实本来我在想，自己作为已经有主力机的用户，纯粹因为喜欢买入坚果作为备机的情况，很可能在坚果用户群中属于极小部分的情况。后来转念一想，以目前国内八线城市的增量市场来说，坚果的定价必然利润空间不足以支撑线下渠道如ov一样给力另一方面，普遍意义上千元机的目标用户又还不太能接受网购。线上线下这么一瞧，好像大概也就剩下了被老罗圈粉的真爱用户和我们这种手机二奶党了哈哈哈哈。本文作者说库全文在这里  #我的坚果手机##锤子手机# ,2141.jpg,0,0,0
#警方回应校内被撞身亡小学生母亲坠亡#《三年A班》的台词，太讽刺了。,2142.jpg,1,0,1
？？？#李易峰##吴签#,2143.jpg,1,0,1
Our Shining StarRTs greatly appreciated!! Probably one of my favorite paintings I've ever done!!#dream #dreamfanart @DreamFanart,2144.jpg,0,0,0
果然是自由美利坚,2145.jpg,1,0,1
".@CadeMetz of @nytimes was an early and enthusiastic cheerleader of Patrick Byrne's conspiracy theories. He never said one word about the libel suit that crushed his credibility or the forgery plea bargain of his key aide Judd Bagley. Gee, I wonder why he's gone quiet? ",2146.jpg,1,0,1
"Diplomacy in the Hanse, 1518 'Our friends, what do you want from us money or prostration?' 'foethfal' It had been a long day of negotiations...#emdiplomacy  #Hanse #fridayfun with #primarysources",2147.jpg,1,1,1
卧槽兄弟们一模一样新鸭脖出现了#鸭脖##鼠鼠我鸭#,2148.jpg,1,1,1
#卷王#当我躺在床上的时候,2149.jpg,0,1,1
#鼠鼠我鸭#啥时候《让子弹飞》申遗成功鸭,2150.jpg,0,1,0
#宝马mini展区被指区别对待##文心一言#在写道歉信这块，文心一言显然是深的公关部精髓的。,2151.jpg,0,0,0
#百度##文心一言#今天发现一个月前申请的百度文心一言通过了，期间没有收到通过的短信。,2152.jpg,0,0,0
#文心一言#以“通义千问”为题做一副画#创意图##通义千问#可以申请内侧了，地址是  ，大家排号去吧，据内部人员说直观感受是ChatGPT.的水平。文心一言的图全部是一个人的肖像，这是一个虚拟还是真实人物呢？,2153.jpg,0,0,0
